Laptop_Titulo,Laptop_Precio,Laptop_Url,CPU_Modelo,RAM_Capacidad,DiscoDuro_Capacidad,SistemaOperativo,Laptop_Marca,Laptop_TPantalla,Laptop_RPantalla,Laptop_Dimensiones,Laptop_Peso,Laptop_Material,Laptop_Color,Laptop_Bateria
HP Elitebook 840 G1 14 Intel Core i5-4300U 1.90Ghz 8GB 500GB WCam Win 10 Pro,"S/ 1625.00
          ",https://www.linio.com.pe/p/hp-elitebook-840-g1-14-intel-core-i5-4300u-190ghz-8gb-500gb-wcam-win-10-pro-rz5wfz,,,,,,,,,,,,
Laptop Lenovo Ideapad 81WE0016US 15.6 Intel Core i3 10 4gb ram 128gb SSD,"S/ 1699.00
          ",https://www.linio.com.pe/p/laptop-lenovo-ideapad-81we0016us-156-intel-core-i3-10o-4gb-ram-128gb-ssd-v9lfg3,Procesador:Intel Core i3-1005G1 de doble ncleo de dcima generacin,Memoria RAM: RAM integrada de 4 GB DDR4 2666 MHz,Almacenamiento:128 GB 2242 NVMe TLC SSD Storage,,Marca:Lenovo,,,,"Peso: 1,2",,,
Lenovo Thinkpad Yoga Intel Core I3 6100U RAM 8GB Disco 128GB SSD Touch 11.6 HD,"S/ 1899.00
          ",https://www.linio.com.pe/p/lenovo-thinkpad-yoga-intel-core-i3-6100u-ram-8gb-disco-128gb-ssd-touch-116-hd-rzusag,"Procesador: Intel Core i3 6100U 2.3 GHz, 3MB Cach, 2 Ncleos",Memoria: 8GB DDR4 SODIMM,,Sistema operativo: Windows 10 Pro 64 bits,,,,,,,Color: NEGRO,
"Laptop Acer Chromebook Spin 713 Intel I5-1135G7 Ram 8GB SSD 256GB 13.5"" 2K Chrome Os","S/ 2239.00
          ",https://www.linio.com.pe/p/laptop-acer-chromebook-spin-713-intel-i5-1135g7-ram-8gb-ssd-256gb-135-2k-chrome-os-wxb162,Procesador: Intel Core I5-1135G1 1.2GHz hasta 4.2GHz Turbo Boost,Memoria Ram: 8GB DDR4,Almacenamiento: 256GB SSD PCIe NVMe,,,,,,Peso: 1.5KG,,Color: Gris,
Laptops Lenovo Thinkpad X260 i5 2.4GHz 12inch 8GB+500GB HDD WIN10,"S/ 2199.00
          ",https://www.linio.com.pe/p/laptops-lenovo-thinkpad-x260-i5-24ghz-12inch-8gb-500gb-hdd-win10-n3lu34,"Procesador:Procesador Intel Core i5-6200U,",Memoria:8GBDDR4 1600MHz SoDIMM Memory,,Sistema operativo: Windows 10,,,,,,,,
Laptops Lenovo Thinkpad T450 i5 2.3GHz 14inch 8GB+500GB HDD WIN10,"S/ 2299.00
          ",https://www.linio.com.pe/p/laptops-lenovo-thinkpad-t450-i5-23ghz-14inch-8gb-500gb-hdd-win10-jsj53k,,,,,,,,,,,,
"Laptop Aspire 3 A315-56-31P1 15,6"" Core I3(Th) 8GB 256GB  ACER","S/ 1759.00
          ",https://www.linio.com.pe/p/laptop-aspire-3-a315-56-31p1-15-6-core-i3-th-8gb-256gb-acer-ors80c,"Procesador:Intel Core i3 1005G1,Velocidad del Procesador: 1.20 GHz,Velocidad Mxima del Procesador: 3.20 GHz",Memoria RAM: 8GB,,,Marca: Acer,,Resolucin de Pantalla:HD (1280X720),,,,,
Laptop Dell core I3501 I3-1115G4 4GB 1TB 15.6 HD Ubuntu Linux,"S/ 2099.00
          ",https://www.linio.com.pe/p/laptop-dell-core-i3501-i3-1115g4-4gb-1tb-156-hd-ubuntu-linux-n2i16o,"Procesador: 11th Generacin Intel? Core? i3-1115G4 (6MB Cache, up to 4.1 GHz)",Memoria: 4GB x 1 DDR4 2666Mhz,Almacenamiento: 1TB 5400RPM HDD 2.5,,,,,,,,Color: Negro,"Batera: 3 celdas, 42 WHr, batera integrada"
"Laptop Dell Vostro 14 Ryzen 5 8GB RAM 256GB SSD 14"" AMD Radeon Vega 8 Graphics","S/ 2139.00
          ",https://www.linio.com.pe/p/laptop-dell-vostro-14-ryzen-5-8gb-ram-256gb-ssd-14-amd-radeon-vega-8-graphics-oplsu8,Procesador:AMD Ryzen 5,,,,,,,,,,,
"HP All in One - 22-dd0018la AMD Ryzen3, 4GB SDRAM DDR4-2400/DDSATA de 1 TB,WIN10","S/ 1799.00
          ",https://www.linio.com.pe/p/hp-all-in-one-22-dd0018la-amd-ryzen3-4gb-sdram-ddr4-2400-ddsata-de-1-tb-win10-yp0ird,"Procesador: AMD Ryzen 3 3250U (velocidad base de 2,6GHz, velocidad de rfaga mxima de hasta 3,5GHz, 4MB de cach L3 y 2ncleos)",Memoria: 4GB DDR4,,,Marca:HP,,,,,,Color: Negro,
"Laptop Hp 250 G7, Core I3-10Ma, Ram 8Gb, 1Tb, Led 15.6""","S/ 2899.00
          ",https://www.linio.com.pe/p/laptop-hp-250-g7-core-i3-10ma-ram-8gb-1tb-led-156--ylgrcj,Procesador Intel Core i3-1005G1 10ma. gen.1.2Ghz hasta 3.4 GHz,,Almacenamiento HDD 1TB 5400rpm,Sistema operativo: FREEDOS (Libre de Sistema Operativo),Marca HP,,,,,,Color negro gris,
Hp 15 N5000 Quadcore ( 8gb + 128 Ssd ) Laptop Intel Win10 - Rojo,"S/ 1725.00
          ",https://www.linio.com.pe/p/hp-15-n5000-quadcore-8gb-128-ssd-laptop-intel-win10-rojo-wzcfz1,"Procesador: Intel Pentium Silver N5000 Quadcore (1.1, 2.7 GHz ) 4 MB",Memoria: 8GB RAM,,,,,,,"Peso: 1,74 kg",,,
"LAPTOP HP 250 G8 CI7-1065G7, 8GB, 1TB HDD, VID MX330 FREEDOS 15.6"" 2P5M3LT ABM + MOCHILA HP PRELUDE","S/ 3399.00
          ",https://www.linio.com.pe/p/laptop-hp-250-g8-ci7-1065g7-8gb-1tb-hdd-vid-mx330-freedos-156-2p5m3lt-abm-mochila-hp-prelude-vdxlzg,,,,,,,,,,,,
Laptop HP Gaming 15-DK1025LA 156 Core i5-10300H 8GB 256GB SSD FreeDOS,"S/ 3429.00
          ",https://www.linio.com.pe/p/laptop-hp-gaming-15-dk1025la-156-core-i5-10300h-8gb-256gb-ssd-freedos-vf3bj6,"Procesador: Intel Core i5-10300H (frecuencia base de 2,5 GHz, hasta 4,5 GHz con tecnologa Intel Turbo Boost, 8 MB de cach L3 y 4 ncleos)",Memoria: 8 GB de SDRAM DDR4-2933 (1 x 8 GB),Almacenamiento: SSD PCIe NVMe M.2 de 256 GB,"Sistema operativo: FreeDOS ""Sin sistema Operativo""",,,,,,,,
"Laptop Hp 14"" dk1022wm Amd Ryzen 3 4gb Ram 128gb Ssd Win10","S/ 1899.00
          ",https://www.linio.com.pe/p/laptop-hp-14-dk1022wm-amd-ryzen-3-4gb-ram-128gb-ssd-win10-vctehx,"Procesador: AMD Ryzen  3 3250U (reloj base de 2,6 GHz, reloj de impulso mximo de hasta 3,5 GHz, 1 MB de cach L2, 2 ncleos)",Memoria RAM: SDRAM DDR4-2400 de 4 GB (1 x 4 GB),,Sistema operativo: Windows 10 Home en modo S,,,,,"Peso:1,5 kg",,,Tipo de Batera: Iones de litio de 3 celdas y 41 Wh
Laptop HP 17-ca AMD Ryzen 5 16GBRam 256GB SSD Windows 10,"S/ 2599.00
          ",https://www.linio.com.pe/p/laptop-hp-17-ca-amd-ryzen-5-16gbram-256gb-ssd-windows-10-tpt1o3,Procesador: AMD Ryzen 5 4500U Competencia de Intel Core I5,,Almacenamiento: 256GB SSD,,,,Resolucin: 1600x900 HD,,,,,
"Laptop HP 15.6"" Ryzen 3 Serie 4000 256GB SSD 4GB 15-EF1009LA","S/ 2159.00
          ",https://www.linio.com.pe/p/laptop-hp-156-ryzen-3-serie-4000-256gb-ssd-4gb-15-ef1009la-towap5,"Procesador,Procesador AMD Ryzen 3",Memoria,Almacenamiento de datos,Sistema operativo,,,,,,,,
Laptop HP 14-cf2064la Intel CORE i3 10110U RAM 4GB DISCO 128GB SSD 14 HD W11,"S/ 1899.00
          ",https://www.linio.com.pe/p/laptop-hp-14-cf2064la-intel-core-i3-10110u-ram-4gb-disco-128gb-ssd-14-hd-w11-tp5hm7,Procesador: Intel Core i3 10110U 2.1 Ghz Turbo Boost 4.1 Ghz,"Memoria Ram: 4 GB DDR4 2666Hz,Lector de Memoria: SD Multiformato",Almacenamiento: 128 GB SATA 3 TLC M.2,,,,,,,,Color: Negro,Batera: Iones de litio de 3 celdas y 41 Wh
LAPTOP HP 15-ef1021la Notebook  AMD Ryzen 3 4300 /4 GB /256 GB SSD  FreeDOS,"S/ 2029.00
          ",https://www.linio.com.pe/p/laptop-hp-15-ef1021la-notebook-amd-ryzen-3-4300-4-gb-256-gb-ssd-freedos-tonj0x,,"Memoria, estndar 4 GB de RAM DDR4-2666 MHz (1 x 4 GB)",,,,,,,"Peso 1,69 kg",,,
"LAPTOP HP 250 G7, Core i3-10ma, RAM 4GB, 1TB, LEl 15.6""","S/ 1899.00
          ",https://www.linio.com.pe/p/laptop-hp-250-g7-core-i3-10ma-ram-4gb-1tb-lel-156--tny5mn,Procesador Intel Core i3-1005G1 10ma. gen.1.2Ghz hasta 3.4 GHz,,Almacenamiento HDD 1TB 5400rpm,Sistema operativo: FREEDOS (Libre de Sistema Operativo),Marca HP,,,,,,Color negro,
Laptop HP Gaming 15-DK1025LA 156 Core i5-10300H 8GB 256GB SSD FreeDOS.,"S/ 3429.00
          ",https://www.linio.com.pe/p/laptop-hp-gaming-15-dk1025la-156-core-i5-10300h-8gb-256gb-ssd-freedos-s351b9,"Procesador: Intel Core i5-10300H (frecuencia base de 2,5 GHz, hasta 4,5 GHz con tecnologa Intel Turbo Boost, 8 MB de cach L3 y 4 ncleos)",Memoria: 8 GB de SDRAM DDR4-2933 (1 x 8 GB),Almacenamiento: SSD PCIe NVMe M.2 de 256 GB,"Sistema operativo: FreeDOS ""Sin sistema Operativo""",,,,,,,,
Laptop HP Pavilion 15-Eh0011La Ryzen 7 4700U RAM 16GB Disco 512GB 15.6 FHD,"S/ 4299.00
          ",https://www.linio.com.pe/p/laptop-hp-pavilion-15-eh0011la-ryzen-7-4700u-ram-16gb-disco-512gb-156-fhd-s3fooj,Procesador: AMD Ryzen 7 4700U 2.0 GHz Turbo 4.1 GHz,Memoria Ram: 16 GB Exp. Hasta 32GB DDR4-3200 MHz (2 x 8 GB),Almacenamiento: 512 GB PCI NVMe M.2 SSD,,,,,,,,Color: Azul,
Laptop HP 15-CS Intel I5 12GBRam 512GB SSD Touch Windows 10,"S/ 3159.00
          ",https://www.linio.com.pe/p/laptop-hp-15-cs-intel-i5-12gbram-512gb-ssd-touch-windows-10-s1qy0a,Procesador: Intel Core i5-1035G1,,Almacenamiento: 512GB SSD,,,,Resolucin: 1920x1080 Full HD,,,,,
"Combo HP 250 G8 Core i5 8GB RAM 1TB HDD 15.6"" HD FreeDos + Mochila + Mouse","S/ 2599.00
          ",https://www.linio.com.pe/p/combo-hp-250-g8-core-i5-8gb-ram-1tb-hdd-156-hd-freedos-mochila-mouse-qdmc17,,,,,,,,,,,,
Laptop HP 17-CN Intel I5 12GBRam 1TB  Windows 10,"S/ 2919.00
          ",https://www.linio.com.pe/p/laptop-hp-17-cn-intel-i5-12gbram-1tb-windows-10-qb3ppj,Procesador: Intel Core i5-1135G7,,Almacenamiento: 1TB HDD,,,,Resolucin: 1920x1080 Full HD,,,,,
Laptop HP 240 G7 Intel Celeron N4100 RAM 4GB Disco 1TB HDD 14 HD,"S/ 1599.00
          ",https://www.linio.com.pe/p/laptop-hp-240-g7-intel-celeron-n4100-ram-4gb-disco-1tb-hdd-14-hd-qccie8,"Procesador: Intel Celeron N4000 1,1 GHz, hasta 2,4 GHz 4 ncleos",Memoria Ram: 4GB SDRAM DDR4-2400,Almacenamiento: 1 TB SATA 5400 rpm,,,,,,Peso: 1.52 Kg,,,
Laptop HP 156 HD dw1001wm Intel Celeron N4020 4gb Ram 128gb SSD W10 + Microsoft Office,"S/ 1699.00
          ",https://www.linio.com.pe/p/laptop-hp-156-hd-dw1001wm-intel-celeron-n4020-4gb-ram-128gb-ssd-w10-microsoft-office-n4x3hl,"Procesador: Intel Celeron N4020 (frecuencia base de 1,1 GHz, frecuencia de rfaga de hasta 2,8 GHz, 4 MB de cach L2, 2 ncleos)",Memoria RAM: 4 GB de RAM DDR4-2400 MHz (1 x 4 GB),,Sistema operativo: Windows 10,Marca: HP,,,,"Peso: 1,78 kg",,,
"Laptop HP 14"" Intel Core i3 10Gen 4GB 128GB SSD 14-CF2064LA","S/ 2421.00
          ",https://www.linio.com.pe/p/laptop-hp-14-intel-core-i3-10-gen-4gb-128gb-ssd-14-cf2064la-n46nbn,"Procesador,Procesador Intel Core i3 de 10. generacin",Memoria,Almacenamiento de datos,Sistema operativo,,,,,,,,
"Laptop Hp 250 G7, LED 15.6"", Core I3-10Ma, RAM 4GB, 1TB, FREEDOS","S/ 1899.00
          ",https://www.linio.com.pe/p/laptop-hp-250-g7-led-156-core-i3-10ma-ram-4gb-1tb-freedos-lhxg89,Procesador Intel Core i3-1005G1 10ma. gen.1.2Ghz hasta 3.4 GHz,,Almacenamiento HDD 1TB 5400rpm,Sistema operativo: FREEDOS (Libre de Sistema Operativo),Marca HP,,,,,,Color negro gris,
PAVILION HP 13-BB0002LA I5-1135G7 8GB RAM - 256GB SSD -13.3 HD WIN 10,"S/ 2699.00
          ",https://www.linio.com.pe/p/pavilion-hp-13-bb0002la-i5-1135g7-8gb-ram-256gb-ssd-133-hd-win-10-lhaymk,Procesador: Intel Core i5,Memoria RAM: 8GB,,Sistema operativo: Windows 10,Marca: HP,,Resolucin de la pantalla: Full HD (1920x1080),,,,,
LAPTOP HP 250 G8 INTEL CORE I5 1035G1 RAM 4GB DISCO 1TB HDD 15.6 HD FREEDOS,"S/ 2399.00
          ",https://www.linio.com.pe/p/laptop-hp-250-g8-intel-core-i5-1035g1-ram-4gb-disco-1tb-hdd-156-hd-freedos-lfgfps,Procesador: Intel Core i5 1035G1 1.0GHZ HASTA 3.6GHz,Memoria Ram: 4GB DDR4- 2666 SDRAM,Almacenamiento: 1TB,,,,,,,,Color: Negro,
Laptop KUU Yobook Pro Intel Celeron N4120 8GB 256GB SSD 3K,"S/ 1979.00
          ",https://www.linio.com.pe/p/laptop-kuu-yobook-pro-intel-celeron-n4120-8gb-256gb-ssd-3k-vcshc3,"Procesador Intel Celeron N4120, cuatro ncleos; Hilos cudruples, 1,10 GHz hasta 2,60 GHz.",,,,,,"Resolucin 3K de 13,5 pulgadas, ocupacin de pantalla 3: 2.",,,,,
Notebook KUU A8s Pro Intel Celeron J4125 8GB 256GB SSD,"S/ 1709.00
          ",https://www.linio.com.pe/p/notebook-kuu-a8s-pro-intel-celeron-j4125-8gb-256gb-ssd-qe6fur,"Procesador:Intel Celeron J4125 2.7 GHz, con 4 MB Intel Smart Cache",Memoria RAM: 8GB DDR4,Almacenamiento: Capacidad del disco duro: SSD 256GB,,,,,,,,,
"Laptop Lenovo 15"" FHD Intel Core i7 11va ( 12gb + 512 SSD ) Touch Win 10 BLUE","S/ 4936.00
          ",https://www.linio.com.pe/p/laptop-lenovo-15-fhd-intel-core-i7-11va-12gb-512-ssd-touch-win-10-blue-jpc8mj,Procesador: Intel Core i7-1165G7 (2.8 - 4.7 Ghz) 12 MB,Memoria: 12 GB de RAM,,,,,,,"Peso: 1,7 kg",,,
Laptop Dell Inspiron 15 3501 Intel Core i5 1135G7 RAM 8GB  256GB SSD 15.6 HD,"S/ 2599.00
          ",https://www.linio.com.pe/p/laptop-dell-inspiron-15-3501-intel-core-i5-1135g7-ram-8gb-256gb-ssd-156-hd-s11ya9,"Procesador: Intel Core i5-1135G7 2,40GHz hasta 4,20GHz Turbo Boost",Memoria Ram: 8GB DDR4 Exp. 16GB,Almacenamiento: 256 GB SSD NvMe,,,,,,,,Color: gris,
PAVILION HP 13-BB0002LA I5-1135G7 8GB RAM - 256GB SSD -13.3 HD WIN 10,"S/ 2699.00
          ",https://www.linio.com.pe/p/pavilion-hp-13-bb0002la-i5-1135g7-8gb-ram-256gb-ssd-133-hd-win-10-vctjvh,Procesador: Intel Core i5,Memoria RAM: 8GB,,Sistema operativo: Windows 10,Marca: HP,,Resolucin de la pantalla: Full HD (1920x1080),,,,,
"Laptop HP 15,6"" Ryzen 5 Serie 4000 256GB SSD 8GB 15-EF1012LA","S/ 2349.00
          ",https://www.linio.com.pe/p/laptop-hp-15-6-ryzen-5-serie-4000-256gb-ssd-8gb-15-ef1012la-jpm4z5,Procesador:AMD Ryzen 5 4500U,Memoria RAM:8 GB,,Sistema operativo:Windows 10,Marca de procesador:AMD,"Tamao de pantalla:15.6""",Resolucin:1366 x 768,,Peso (kg):1.69 KG,,,
"Lenovo IdeaPad D330 - Intel Celeron N4020 - 4 GB - 64 GB - 10"" Lenovo","S/ 699.00
          ",https://www.linio.com.pe/p/lenovo-ideapad-d330-intel-celeron-n4020-4-gb-64-gb-10-lenovo-rz6kes,Procesador,Memoria,Almacenamiento,,,,,,,,,
LAPTOP-LENONO-V15-IIL-INTEL-CORE-I5-1035G1-RAM-8GB-DISCO-1TB-HDD-VIDEO-2GB-156-HD,"S/ 3029.00
          ",https://www.linio.com.pe/p/laptop-lenono-v15-iil-intel-core-i5-1035g1-ram-8gb-disco-1tb-hdd-video-2gb-156-hd-lhr7p5,Procesador: Intel Core  i5 1035G1 1.0 GHz Hasta 3.6 GHz Turbo Boost,Memoria: 8GB DDR4 exp. 20 GB,,Sistema operativo: FreeDOS (SIN SISTEMA OPERATIVO),,,,,,,Color: GRIS,
HP Elitebook 840 G1 14 Intel Core i5-4300U 1.90Ghz 4GB 500GB WCam Win 10 Pro,"S/ 1419.00
          ",https://www.linio.com.pe/p/hp-elitebook-840-g1-14-intel-core-i5-4300u-190ghz-4gb-500gb-wcam-win-10-pro-tm4h9d,,,,,,,,,,,,
Laptops Lenovo Thinkpad X240 i5 1.6GHz 12inch 8GB+500GB HDD WIN10,"S/ 1769.00
          ",https://www.linio.com.pe/p/laptops-lenovo-thinkpad-x240-i5-16ghz-12inch-8gb-500gb-hdd-win10-ynrtxs,Procesadores Intel Core  de cuarta generacin,"Memoria RAM DDR3L de8GB, 1600MHz, 2SO-DIMM",,Sistema operativoWindows 10,,,,,,,,
"Asus VivoBook 15 Intel Core i5 11th 8GB RAM 256GB SSD W10 15.6"" FHD Tctil","S/ 2499.00
          ",https://www.linio.com.pe/p/asus-vivobook-15-intel-core-i5-11th-8gb-ram-256gb-ssd-w10-156-fhd-ta-ctil-x1d6qz,,,,,,,,,,,,
Porttil KUU SBOOK M2 Intel Atom x7 E3950 6GB RAM 128GB SSD LAPTOP,"S/ 999.00
          ",https://www.linio.com.pe/p/porta-til-kuu-sbook-m2-intel-atom-x7-e3950-6gb-ram-128gb-ssd-laptop-vbz4bl,CPU: Procesador Intel Atom x7-E3950,,,,,,,,,,,Batera: 30.4Wh (7.6V 4000mAH)
Lenovo IdeaPad 3i Core i5 8GB 512GB SSD W10 FHD 14,"S/ 2399.00
          ",https://www.linio.com.pe/p/lenovo-ideapad-3i-core-i5-8gb-512gb-ssd-w10-fhd-14-ld2mux,"Procesador: Intel Core i5,Modelo Procesador: i5-1035G1",Memoria: 8GB DDR4,,,,,Resolucin: 1920x1080,,,,,
Laptop Acer Ryzer 5 3500U Ram 12GB DDR4 SSD 256GB 15.6 FHD Sin Sistema,"S/ 2419.00
          ",https://www.linio.com.pe/p/laptop-acer-ryzer-5-3500u-ram-12gb-ddr4-ssd-256gb-156-fhd-sin-sistema-n0oeka,"Fabricante de Procesador AMD,Tipo de Procesador Ryzen 5,Velocidad de Procesador 2,10 GHz","Accesibilidad de Memoria Grfica Compartida,Memoria Memoria Estndar 12 GB",Almacenamiento Capacidad Total 256 de la Unidad de Estado Slido (SSD),,,,Resolucin de la Pantalla 1920 x 1080,,"Peso (Aproximado) 1,90 kg",,Color Plata puro,Batera estndar
